,Encoding
1731,"RESEARCH METHODS  FAS Political science POLI 644 600 Master This course intended introduce undergraduate students quantitative analysis political science. Key skills univariate, bivariate, multivariate analysis; inferential statistics; graphing demonstrated using statistical software lab exercises."
1732,"INTERNSHIP  FAS Political Science POLI 693 600 Master Students complete 8 public policy stream courses; compete attain relevant paid internship policy analyst program evaluator. They complete one 16 week full-time internship, extend 32 weeks. 21 credits divided Professional Development/Internship/Academic Report."
1733,"Special Topics in Public Policy & Public Administration  FAS Political science POLI 683 600 Master This course provides students thorough understanding development requirements writing presenting policy ideas government communication vehicles including Question Period notes, Briefing Notes, Memorandums Cabinet, Treasury Board Submissions, oral written presentations senior management."
1734,"Special Topics in Public Policy & Public Administration  FAS Political science POLI 683 600 Master Students choose number pre-selected workshops, including soft skills, teamwork, leadership, interviewing, communications, French, data management analytics, professional ethics, gender analysis help prepare professional careers."
1735,Special Topics in Public Policy & Public Administration  FAS Political science POLI 683 600 Master Taught Public Servant Residence (current former) students practice prepare deliver information needed high level public servants via multiple case studies provided past current decision-makers Canadian Quebec governments.
1736,"Internship  FAS Political Science POLI 397 300 Bachelor 10hrs/week 13 weeks relevant work employer trains, supervises coaches intern better understand field study. A research paper graded Faculty member. 3 credits."
1737,Intaglio I  FFA Studio Arts PRIN 211 200 Bachelor An introductory studio course intaglio techniques emphasis creative imagery.
1738,Lithography I  FFA Studio Arts PRIN 221 200 Bachelor An introductory studio course lithographic techniques emphasis creative imagery.
1739,Screen Printing I  FFA Studio Arts PRIN 231 200 Bachelor An introductory studio course basic techniques screen printing emphasis creative imagery.
1740,Intaglio II  FFA Studio Arts PRIN 311 300 Bachelor An intermediate intaglio studio course emphasis individual creative theoretical development experimentation innovation.
1741,Lithography II  FFA Studio Arts PRIN 321 300 Bachelor An intermediate lithography studio course emphasis individual creative theoretical development experimentation innovation.
1742,Screen Printing II  FFA Studio Arts PRIN 331 300 Bachelor An intermediate screen‑printing studio course emphasis individual creative theoretical development experimentation innovation.
1743,"Processes in Digital Print Media II  FFA Studio Arts PRIN 341 300 Bachelor An intermediate studio course emphasis concepts digital imaging, print applications, file creation, layers multi‑plate hand‑printing file export various digital print formats."
1744,Screen Printing III  FFA Studio Arts PRIN 431 400 Bachelor An advanced screen‑printing studio course emphasis individual creative theoretical development experimentation innovation.
1745,Advanced Projects in Print Media I  FFA Studio Arts PRIN 451 400 Bachelor An advanced studio course students propose complete print projects consultation instructor.
1746,Independent Study in Print Media  FFA Studio Arts PRIN 470 400 Bachelor This course provides limited number students opportunity pursue advanced studies print media supervision full‑time print faculty member.
1747,Independent Study in Print Media I  FFA Studio Arts PRIN 471 400 Bachelor This course provides limited number students opportunity pursue advanced studies print media supervision full‑time print faculty member.
1748,Independent Study in Print Media II  FFA Studio Arts PRIN 472 400 Bachelor This course provides limited number students opportunity pursue advanced studies print media supervision full‑time print faculty member.
1749,"Professional Internship  FFA Studio Arts PRIN 481 400 Bachelor Internships students wish obtain practical experience working apprentice professional environment, would like pursue research curating prints, print criticism, related experience print media, receive academic credit activity."
1750,Intaglio III  FFA Studio Arts PRIN 411 400 Bachelor An advanced intaglio studio course emphasis individual creative theoretical development experimentation.
1751,Lithography III  FFA Studio Arts PRIN 421 400 Bachelor An advanced lithography studio course emphasis individual creative theoretical development experimentation innovation.
1752,Advanced Processes in Digital Print Media III  FFA Studio Arts PRIN 441 400 Bachelor An advanced digital studio course emphasis individual creative theoretical development experimentation innovation.
1753,Contemporary Print Processes II  FFA Studio Arts PRIN 371 300 Bachelor This intermediate studio course addresses topics print processes technologies. Students create portfolio artwork demonstrates research.
1754,Aspects of Print Media  FFA Studio Arts PRIN 381 300 Bachelor An intermediate studio course focuses theoretical issues practices contemporary print media.
1755,"Special Topics in Print Media  FFA Studio Arts PRIN 398 300 Bachelor An intermediate studio course examines ideas practices contemporary print media, students produce printed images reflect research critical thinking specific topic."
1756,Special Topics in Print Media  FFA Studio Arts PRIN 498 400 Bachelor An advanced studio course emphasis individual creative theoretical development experimentation innovation.
1757,SPECIAL TOPICS IN PRINT MEDIA  FFA Studio Arts PRIN 499 400 Bachelor An advanced studio course emphasis individual creative theoretical development experimentation innovation.
1758,Processes in Digital Print Media I  FFA Studio Arts PRIN 241 200 Bachelor An introductory studio course basic concepts contemporary digital imaging print applications.
1759,Contemporary Print Processes I  FFA Studio Arts PRIN 271 200 Bachelor This introductory studio course addresses special topics print processes new technologies.
1760,Contemporary Relief and Woodcut I PRIN 291 = PRIN 371D FFA Studio Arts PRIN 291 200 Bachelor An introductory studio course basic techniques woodcut relief printing emphasis creative imagery.
1761,The Artist's Book as Object  FFA Studio Arts PRIN 365 300 Bachelor An intermediate studio course emphasis individual creative theoretical development experimentation innovation.
1762,Aspects of the Artist Book  FFA Studio Arts PRIN 366 300 Bachelor An intermediate studio course emphasis creative theoretical development experimentation innovation.
1763,Contemporary Relief and Woodcut II  FFA Studio Arts PRIN 391 300 Bachelor An intermediate studio course techniques woodcut relief printing emphasis creation.
1764,"Special Topics in Print Media  FFA Studio Arts PRIN 399 300 Bachelor An intermediate studio course examines ideas practices contemporary print media, students produce printed images reflect research critical thinking specific topic."
1765,"Research Methods and Designs II  FAS Psychology PSYC 311 300 Bachelor Experiment, Laboratory"
1766,"Research Methods and Designs II  FAS Psychology PSYC 311 300 Bachelor Experiment, Laboratory"
1767,Statistical Analysis I  FAS Psychology PSYC 315 300 Bachelor Laboratory
1768,Statistical Analysis I  FAS Psychology PSYC 315 300 Bachelor Laboratory
1769,Statistical Analysis II  FAS Psychology PSYC 316 300 Bachelor Laboratory
1770,Statistical Analysis II  FAS Psychology PSYC 316 300 Bachelor Laboratory
1771,"Directed Research in Psychology PSYC387 = PSYC439 FAS Psychology PSYC 387 300 Bachelor Students work research laboratory, gaining experience current research methods Psychology"
1772,"Directed Research in Psychology  FAS Psychology PSYC 387 300 Bachelor Students work research laboratory, gaining experience current research methods Psychology"
1773,Specialization Project  FAS Psychology PSYC 485 400 Bachelor Students work research lab thesis. Course trains present projects.
1774,Specialization Project  FAS Psychology PSYC 485 400 Bachelor Students work research lab thesis. Course trains present projects.
1775,"Advanced Directed Research in Psychology  FAS Psychology PSYC 487 400 Bachelor Students work research laboratory, gaining experience current research methods Psychology. Must completed PSYC485 PSYC495."
1776,Honours Thesis PSYC 430 = PSYC 495 FAS Psychology PSYC 495 400 Bachelor Students work research lab thesis. Course trains present projects.
1777,Honours Thesis PSYC 430 = PSYC 495 FAS Psychology PSYC 495 400 Bachelor Students work research lab thesis. Course trains present projects.
1778,STAT ANALYSIS + EXPER DESIGN  FAS Psychology PSYC 601 600 Master Laboratory
1779,STAT ANALYSIS + EXPER DESIGN  FAS Psychology PSYC 601 600 Master Laboratory
1780,"Internal Practicum I  FAS Psychology PSYC 705 700 Master Case supervision, observe and/or assist clients therapy, case conferences Applied Psychology Centre"
1781,Diagnostic Evaluation Practicum  FAS Psychology PSYC 706 700 Master Administer intellectual tests supervision
1782,Diagnostic Evaluation Practicum  FAS Psychology PSYC 706 700 Master Administer intellectual tests supervision
1783,Cognitive Evaluation Practicum  FAS Psychology PSYC 707 700 Master Administer intellectual tests supervision
1784,Cognitive Evaluation Practicum  FAS Psychology PSYC 707 700 Master Administer intellectual tests supervision
1785,Internal Practicum II: General  FAS Psychology PSYC 708 700 Master Assessment treatment selected clients Applied Psychology Centre faculty supervision
1786,Internal Practicum II: Adult  FAS Psychology PSYC 709 700 Master Assessment treatment selected adult clients Applied Psychology Centre faculty supervision
1787,Internal Practicum II: Child and Adolescent  FAS Psychology PSYC 710 700 Master Assessment treatment selected child clients Applied Psychology Centre faculty supervision
1788,External Practicum I: General  FAS Psychology PSYC 711 700 Master 4-month extramural practicum done qualified supervisors
1789,"External Practicum I: Adult  FAS Psychology PSYC 712 700 Master 4-month extramural practicum adult clients, done qualified supervisors"
1790,"External Practicum I: Child and Adolescent  FAS Psychology PSYC 713 700 Master 4-month extramural practicum child clients, done qualified supervisors"
1791,"Internal Practicum III: General  FAS Psychology PSYC 823 800 PhD Practicum, clinical experience supervision"
1792,Internal Practicum III: General  FAS Psychology PSYC 823 800 PhD Laboratory
1793,"Internal Practicum III: Adult  FAS Psychology PSYC 824 800 PhD Practicum, clinical experience supervision"
1794,"Internal Practicum III: Child and Adolescent  FAS Psychology PSYC 825 800 PhD Practicum, clinical experience supervision"
1795,Internal Practicum IV: General  FAS Psychology PSYC 826 800 PhD Specialised practicum advanced students involving clinical experience supervision
1796,Internal Practicum IV: Adult  FAS Psychology PSYC 827 800 PhD Specialised practicum advanced students involving clinical experience adult clients supervision
1797,Internal Practicum IV: Child and Adolescent  FAS Psychology PSYC 828 800 PhD Specialised practicum advanced students involving clinical experience child clients supervision
1798,External Practicum II: General  FAS Psychology PSYC 838 800 PhD Practicum
1799,External Practicum II: Adult  FAS Psychology PSYC 839 800 PhD Practicum
1800,External Practicum II: Child and Adolescent  FAS Psychology PSYC 840 800 PhD Practicum
1801,External Practicum III: General  FAS Psychology PSYC 841 800 PhD Practicum
1802,External Practicum III: Adult  FAS Psychology PSYC 842 800 PhD Practicum
